id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
199,Army Green,,Brown,Zombie,Grin,Striped Tee,Girl's Hair Short
200,Purple,,Death Bot,Heart,Bored Cigarette,Leather Jacket,Cowboy Hat
201,New Punk Blue,,Black,Bored,Bored Unshaven,Leather Punk Jacket,
202,Gray,,Noise,Bored,Phoneme  ooo,Caveman Pelt,
203,New Punk Blue,,Tan,Bored,Jovial,Tuxedo Tee,Horns
204,New Punk Blue,,Noise,Eyepatch,Phoneme Vuh,,
205,New Punk Blue,,Black,Crazy,Bored Pipe,Guayabera,Fez
206,New Punk Blue,Diamond Stud,Dark Brown,Blindfold,Jovial,,Sea Captain's Hat
207,Aquamarine,,Dmt,Heart,Bored Unshaven,Black T,
208,Army Green,Silver Stud,Pink,Coins,Bored Unshaven Pizza,Prom Dress,Fez
209,Gray,,Golden Brown,Angry,Bored,Prison Jumpsuit,
210,New Punk Blue,,Red,X Eyes,Grin,Smoking Jacket,
211,Gray,,Trippy,Zombie,Bored,Work Vest,Baby's Bonnet
212,Orange,Diamond Stud,Cream,Closed,Bored,Pimp Coat,Army Hat
213,Gray,Silver Stud,Brown,Hypnotized,Bored Cigarette,,
214,Orange,Silver Stud,Brown,Closed,Dumbfounded,Wool Turtleneck,Irish Boho
215,Army Green,,Dark Brown,Bored,Bored,,Cowboy Hat
216,Army Green,Silver Stud,Tan,Coins,Bored,,
217,New Punk Blue,Gold Stud,Pink,Bloodshot,Rage,Prom Dress,
218,Blue,,Brown,Zombie,Grin,Caveman Pelt,Army Hat
219,Orange,,Cream,Bored,Discomfort,Puffy Vest,Stuntman Helmet
220,Yellow,,Red,Blindfold,Bored,Black Holes T,Short Mohawk
221,Purple,,Dark Brown,Crazy,Phoneme Wah,Sailor Shirt,Cowboy Hat
222,Aquamarine,Silver Stud,Dark Brown,X Eyes,Bored Pipe,Bayc T Red,Stuntman Helmet
223,Purple,Silver Stud,Gray,3d,Bored Unshaven Cigarette,Leather Punk Jacket,Prussian Helmet
224,Yellow,,White,3d,Bored Unshaven,Black T,
225,Purple,,Cheetah,Sunglasses,Bored,Leather Jacket,Halo
226,Army Green,,Cream,Scumbag,Bored Party Horn,Service,
227,Aquamarine,,Cream,X Eyes,Bored Bubblegum,Black Holes T,Short Mohawk
228,New Punk Blue,Diamond Stud,White,Sad,Bored,,Beanie
229,Purple,Silver Stud,Dark Brown,Sad,Grin,Tie Dye,Vietnam Era Helmet
230,Blue,,Dark Brown,Sleepy,Bored Unshaven,Caveman Pelt,Beanie
231,Orange,,Pink,X Eyes,Rage,Bone Tee,Beanie
232,Army Green,,Solid Gold,Sleepy,Bored,Smoking Jacket,Seaman's Hat
233,New Punk Blue,,Blue,Laser Eyes,Bored Unshaven,,Girl's Hair Pink
234,Army Green,Silver Stud,Pink,Bored,Bored Cigarette,Bone Tee,
235,Purple,,Dark Brown,3d,Grin,,Bayc Flipped Brim
236,Orange,,Pink,Blue Beams,Bored,,
237,Orange,Silver Stud,Robot,Bloodshot,Small Grin,Leather Punk Jacket,Sushi Chef Headband
238,Army Green,,Red,Wide Eyed,Bored Unshaven,Guayabera,
239,Blue,Silver Hoop,Blue,Closed,Bored,Sleeveless T,Commie Hat
240,Yellow,,Black,Hypnotized,Rage,Tweed Suit,Party Hat 1
241,Aquamarine,,Tan,Coins,Dumbfounded,Rainbow Suspenders,Fisherman's Hat
242,Blue,Cross,White,Eyepatch,Bored Unshaven,Bone Necklace,Sushi Chef Headband
243,Blue,,Brown,Angry,Bored Bubblegum,Bayc T Red,Army Hat
244,Purple,,Dark Brown,3d,Phoneme Oh,Sleeveless Logo T,Prussian Helmet
245,Gray,Gold Stud,Cheetah,Robot,Dumbfounded,Sleeveless T,Girl's Hair Short
246,Gray,Cross,Black,Sunglasses,Bored Unshaven,Blue Dress,
247,New Punk Blue,Gold Stud,Dark Brown,Wide Eyed,Bored Unshaven Cigar,Tuxedo Tee,Beanie
248,New Punk Blue,Silver Stud,Dark Brown,Hypnotized,Rage,Admirals Coat,
249,Blue,,Brown,Sunglasses,Bored Party Horn,Cowboy Shirt,Safari
250,New Punk Blue,,Brown,Eyepatch,Bored,,Stuntman Helmet
251,Purple,,Dark Brown,Blindfold,Grin Gold Grill,Vietnam Jacket,
252,Army Green,Cross,Tan,Scumbag,Bored Party Horn,Sleeveless T,Army Hat
253,Army Green,,Cream,Zombie,Bored Unshaven,Bayc T Black,Stuntman Helmet
254,Orange,Silver Hoop,Blue,Crazy,Bored Unshaven,,
255,Aquamarine,,Golden Brown,Bored,Bored Cigarette,,
256,Aquamarine,,Brown,Crazy,Phoneme  ooo,Service,
257,Yellow,,Tan,Bloodshot,Bored,Sleeveless T,Trippy Captain's Hat
258,Blue,,Cheetah,Sad,Bored,Bone Necklace,Bayc Flipped Brim
259,Aquamarine,,Cheetah,Zombie,Grin,Tweed Suit,Irish Boho
260,Aquamarine,,Brown,Crazy,Tongue Out,Work Vest,
261,New Punk Blue,,Cream,Robot,Bored Unshaven,Sailor Shirt,S&m Hat
262,New Punk Blue,,Golden Brown,Sleepy,Phoneme Vuh,Wool Turtleneck,
263,New Punk Blue,Silver Hoop,Black,Bloodshot,Bored Cigarette,Smoking Jacket,Party Hat 2
264,Yellow,Gold Hoop,Noise,Angry,Rage,Hawaiian,Short Mohawk
265,Yellow,Gold Stud,Dark Brown,Sleepy,Bored Kazoo,Space Suit,Baby's Bonnet
266,Yellow,,Robot,Sunglasses,Bored Bubblegum,,Fez
267,Orange,,Black,Zombie,Dumbfounded,Sailor Shirt,Beanie
268,Yellow,Silver Hoop,Blue,Wide Eyed,Bored Unshaven,Biker Vest,
269,Purple,,Brown,3d,Bored Unshaven,Bone Necklace,
270,New Punk Blue,,Brown,3d,Phoneme Wah,Toga,Bayc Hat Black
271,New Punk Blue,,Cheetah,Wide Eyed,Phoneme Vuh,Striped Tee,
272,Orange,,Dark Brown,Coins,Grin Gold Grill,Leather Punk Jacket,
273,Gray,,Cream,Closed,Bored,Leather Jacket,Fez
274,New Punk Blue,Silver Hoop,Zombie,Closed,Bored Unshaven,Bandolier,Stuntman Helmet
275,Army Green,,Robot,Closed,Bored Unshaven,,Stuntman Helmet
276,Yellow,,Zombie,Closed,Phoneme Vuh,,King's Crown
277,Blue,Gold Stud,Dark Brown,Blindfold,Bored,Sleeveless Logo T,Fisherman's Hat
278,Aquamarine,Silver Hoop,Dark Brown,Blindfold,Bored,Puffy Vest,Cowboy Hat
279,Army Green,Gold Hoop,Black,Scumbag,Bored Unshaven,Service,
280,Purple,,White,Robot,Dumbfounded,,Party Hat 2
281,Army Green,Cross,Brown,Closed,Bored,Cowboy Shirt,Army Hat
282,Army Green,,Black,Bored,Bored Kazoo,Sleeveless Logo T,Fisherman's Hat
283,Gray,,Dark Brown,Bored,Bored Unshaven,Tanktop,Sushi Chef Headband
284,Yellow,,White,Coins,Bored,Guayabera,Bayc Flipped Brim
285,Blue,Silver Hoop,Black,Bored,Bored Unshaven Pipe,Biker Vest,S&m Hat
286,Aquamarine,,Cheetah,Blindfold,Small Grin,Black T,Bayc Hat Black
287,Aquamarine,Silver Hoop,Dmt,Closed,Phoneme Vuh,Vietnam Jacket,Short Mohawk
288,Orange,Diamond Stud,Black,Bloodshot,Bored Cigar,Biker Vest,Cowboy Hat
289,Aquamarine,,Black,X Eyes,Small Grin,Caveman Pelt,Prussian Helmet
290,Purple,,Gray,Angry,Bored Cigar,Stunt Jacket,Safari
291,Purple,,Dmt,Bloodshot,Grin,Bone Necklace,Bayc Hat Black
